"n","min","model","pval","simslope","slope"
43,1,"PGLSSEY",0.00092,-0.2,-0.008307788282434
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.0080093673931905
43,1,"Compar",0.0154148391285549,-0.2,-0.206593487520623
43,1,"PGLSSEY",0.8,0,-7.32688883214638e-09
43,1,"PGLSSEYOPTIM",0.96,0,-7.78954476242321e-10
43,1,"Compar",0.916472177633668,0,0.0184204831334515
44,1,"PGLSSEY",0.00085,0.021,0.00114723770963821
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131415077027051
44,1,"Compar",0.968173117841419,0.021,-0.0040823091362987
43,1,"PGLSSEY",0.35,0,-3.50705299622853e-08
43,1,"PGLSSEYOPTIM",0.097,0,3.13179583152885e-08
43,1,"Compar",0.75317102660643,0,-0.0753654361757756
43,1,"PGLSSEY",0.00088,-0.2,-0.00859887739042196
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.0080096281766427
43,1,"Compar",0.00969212616115733,-0.2,-0.275276235482861
44,1,"PGLSSEY",0.024,0.021,0.000357089542770616
44,1,"PGLSSEYOPTIM",0.0045,0.021,0.000311574674481354
44,1,"Compar",0.140035530964253,0.021,0.152395428800685
43,1,"PGLSSEY",0.00049,-0.2,-0.00864297595579993
43,1,"PGLSSEYOPTIM",0.00016,-0.2,-0.00504176306166632
43,1,"Compar",0.0481670007939003,-0.2,-0.0998630462497254
43,1,"PGLSSEY",0.14,0,3.9706916025837e-08
43,1,"PGLSSEYOPTIM",0.1,0,4.48110162735538e-08
43,1,"Compar",0.270688383159452,0,-0.208499366583924
44,1,"PGLSSEY",0.00085,0.021,0.00114722842042958
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131401299967868
44,1,"Compar",0.352475974926708,0.021,0.0789611070528128
43,1,"PGLSSEY",0.00092,-0.2,-0.00830778228565522
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800932591236913
43,1,"Compar",5.88876700087226e-05,-0.2,-0.588613932548819
43,1,"PGLSSEY",0.14,0,-3.33112436309519e-08
43,1,"PGLSSEYOPTIM",0.0051,0,-3.32465720479753e-08
43,1,"Compar",0.782315333193112,0,0.0561128284765276
43,1,"PGLSSEY",0.002,-0.2,-0.00645034900762479
43,1,"PGLSSEYOPTIM",0.00022,-0.2,-0.00800747557730734
43,1,"Compar",0.0628248399233677,-0.2,-0.108791748777676
44,1,"PGLSSEY",0.00085,0.021,0.00114726464668019
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131403902844022
44,1,"Compar",0.0595510796107601,0.021,0.175086768670016
43,1,"PGLSSEY",0.00092,-0.2,-0.00830775223796288
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800927623829947
43,1,"Compar",0.106179054280659,-0.2,-0.172153405925837
43,1,"PGLSSEY",0.51,0,-1.49559202553483e-08
43,1,"PGLSSEYOPTIM",0.36,0,1.06659132613418e-08
43,1,"Compar",0.631303428706567,0,0.0809207434628089
44,1,"PGLSSEY",0.00085,0.021,0.00114722626897375
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131404530098958
44,1,"Compar",0.121652521268113,0.021,0.143799539047043
43,1,"PGLSSEY",0.002,-0.2,-0.00658881000159166
43,1,"PGLSSEYOPTIM",0.00031,-0.2,-0.00749425705247869
43,1,"Compar",0.280439114252913,-0.2,-0.0564891003436204
43,1,"PGLSSEY",0.29,0,-2.65208068566975e-08
43,1,"PGLSSEYOPTIM",0.33,0,-2.48306780695182e-08
43,1,"Compar",0.914506947337388,0,0.029272261237872
44,1,"PGLSSEY",0.00085,0.021,0.00114722921695102
44,1,"PGLSSEYOPTIM",0.0035,0.021,0.000581631496728624
44,1,"Compar",0.923962399803425,0.021,0.00824915729096487
43,1,"PGLSSEY",0.00092,-0.2,-0.00830781841220797
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800938552367414
43,1,"Compar",0.00904176438091753,-0.2,-0.233662437966011
43,1,"PGLSSEY",0.87,0,-3.85325750433183e-09
43,1,"PGLSSEYOPTIM",0.86,0,4.26713897193188e-09
43,1,"Compar",0.726315624021892,0,0.077269589509769
44,1,"PGLSSEY",0.00085,0.021,0.00114724025640131
44,1,"PGLSSEYOPTIM",0.011,0.021,0.000553686800562791
44,1,"Compar",0.857217553862253,0.021,0.0158984104804201
43,1,"PGLSSEY",0.0014,-0.2,-0.00757170585209491
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800928296438139
43,1,"Compar",0.0161648376522123,-0.2,-0.220675841050152
43,1,"PGLSSEY",0.9,0,-3.22269461421894e-09
43,1,"PGLSSEYOPTIM",0.29,0,-1.39141963244243e-08
43,1,"Compar",0.996539708540215,0,-0.000784393441855324
44,1,"PGLSSEY",0.04,0.021,0.000321938575734082
44,1,"PGLSSEYOPTIM",0.045,0.021,0.00024595213874483
44,1,"Compar",0.876162799866831,0.021,-0.015239829674488
43,1,"PGLSSEY",0.00092,-0.2,-0.00830779211596153
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800945224231608
43,1,"Compar",0.0311858165197001,-0.2,-0.166189963533154
43,1,"PGLSSEY",0.00055,-0.2,-0.00490021418987205
43,1,"PGLSSEYOPTIM",7.7e-05,-0.2,-0.00523056121993375
43,1,"Compar",0.137555130444787,-0.2,-0.126555790222576
43,1,"PGLSSEY",0.89,0,-3.75820151552297e-09
43,1,"PGLSSEYOPTIM",0.96,0,-1.19611764478535e-09
43,1,"Compar",0.757516073555251,0,0.0500690764814264
44,1,"PGLSSEY",0.00085,0.021,0.00114724662522633
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131705692056946
44,1,"Compar",0.707181027947392,0.021,-0.0268663729202753
43,1,"PGLSSEY",0.00092,-0.2,-0.00830778967335628
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.00800940571764579
43,1,"Compar",0.190710204285265,-0.2,-0.0696945393142155
43,1,"PGLSSEY",0.1,0,-4.25550100495484e-08
43,1,"PGLSSEYOPTIM",0.11,0,-3.98628972260257e-08
43,1,"Compar",0.583694171482358,0,-0.1391285520082
44,1,"PGLSSEY",0.00085,0.021,0.00114724110588497
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131510129284292
44,1,"Compar",0.680666873471294,0.021,0.0264790158422981
43,1,"PGLSSEY",0.0015,-0.2,-0.00746487001319877
43,1,"PGLSSEYOPTIM",0.00022,-0.2,-0.00800344113860482
43,1,"Compar",0.10791514667843,-0.2,-0.102761290688086
43,1,"PGLSSEY",0.67,0,-1.2041181945582e-08
43,1,"PGLSSEYOPTIM",0.29,0,-1.55460324274873e-08
43,1,"Compar",0.855867854536802,0,-0.0300412020764634
43,1,"PGLSSEY",0.0051,-0.2,-0.00341307371819633
43,1,"PGLSSEYOPTIM",0.0013,-0.2,-0.00341973224323807
43,1,"Compar",0.731771710766702,-0.2,-0.0228006355405004
44,1,"PGLSSEY",0.00085,0.021,0.00114725748774788
44,1,"PGLSSEYOPTIM",0.00075,0.021,0.00131765205178164
44,1,"Compar",0.64332100637743,0.021,0.0310124400344078
43,1,"PGLSSEY",0.032,0,-6.04540897702334e-08
43,1,"PGLSSEYOPTIM",0.028,0,-5.62509130460541e-08
43,1,"Compar",0.39480650742475,0,0.23394596046479
43,1,"PGLSSEY",0.00092,-0.2,-0.00830780097087091
43,1,"PGLSSEYOPTIM",0.00021,-0.2,-0.0080093778932195
43,1,"Compar",9.40099453390353e-05,-0.2,-0.496060437071997
44,1,"PGLSSEY",0.015,0.021,0.000684187942529026
44,1,"PGLSSEYOPTIM",0.025,0.021,0.0005285377400502
