generation	Posterior	Prior	logLk	sigmasq	root
0	-1752.743	0	-1752.743	864441.3	0.1856061
500	-1744.703	0	-1744.703	823153.6	0.2786579
1000	-1661.957	0	-1661.957	355580.4	0.5982354
1500	-1440.538	0	-1440.538	48604.12	0.8223307
2000	-1361.769	0	-1361.769	15518.07	1.269856
2500	-1358.162	0	-1358.162	15105.22	1.348727
3000	-1291.66	0	-1291.66	7368.053	1.104439
3500	-1290.468	0	-1290.468	7932.267	1.954462
4000	-1291.899	0	-1291.899	6742.065	1.857745
4500	-1255.727	0	-1255.727	4963.336	2.014856
5000	-1165.634	0	-1165.634	2072.563	2.71956
5500	-1159.96	0	-1159.96	2054.484	2.257504
6000	-1160.407	0	-1160.407	2159.997	1.852193
6500	-1159.521	0	-1159.521	1830.784	2.130206
7000	-1159.448	0	-1159.448	1881.866	2.362138
7500	-1159.442	0	-1159.442	1892.812	2.208015
8000	-1159.662	0	-1159.662	2042.261	2.002354
8500	-1159.663	0	-1159.663	2042.628	2.254667
9000	-1022.113	0	-1022.113	445.9864	2.479643
9500	-1022.453	0	-1022.453	507.6166	2.405162
10000	-1022.054	0	-1022.054	457.1138	2.242281
