generation	Posterior	Prior	logLk	sigmasq	r	root
0	-3.033434	0	-3.033434	0.002032525	0	0.1856061
500	-3.756137	0	-3.756137	0.002137604	0.0003087836	0.5590323
1000	-3.662979	0	-3.662979	0.002251432	-0.0004884498	0.3843276
1500	-3.941618	0	-3.941618	0.002258414	-0.0002250482	0.5268752
2000	-6.085074	0	-6.085074	0.002038163	0.0008164343	0.9641073
2500	-3.838046	0	-3.838046	0.002166455	0.0003067109	0.5655538
3000	-3.37241	0	-3.37241	0.001868159	0.0002956809	0.4846231
3500	-4.277848	0	-4.277848	0.001781891	0.003634403	0.04510686
4000	-2.550687	0	-2.550687	0.001695475	0.00306892	0.1307824
4500	-4.684664	0	-4.684664	0.001641754	0.004494851	-0.01708474
5000	-0.7247973	0	-0.7247973	0.001369689	0.003395765	0.2179212
5500	-1.646524	0	-1.646524	0.001403313	0.002543973	0.4872295
6000	-0.9917617	0	-0.9917617	0.001272503	0.003136945	0.4363565
6500	-0.4587163	0	-0.4587163	0.001178743	0.005120095	0.1026199
7000	-1.382468	0	-1.382468	0.00110544	0.003417766	-0.1518668
7500	-0.5615763	0	-0.5615763	0.001063673	0.005981073	-0.05213527
8000	-0.5018615	0	-0.5018615	0.001058393	0.005773564	0.464055
8500	-2.171126	0	-2.171126	0.0009832539	0.00753326	0.4816868
9000	-3.327143	0	-3.327143	0.0008630827	0.003346031	0.1666651
9500	0.4092413	0	0.4092413	0.0009705729	0.005327518	0.4423769
10000	1.091675	0	1.091675	0.0009241928	0.006037549	0.2983509
