generation	Posterior	Prior	logLk	sigmasq	alpha	root
0	-1532.92	0	-1532.92	864441.3	0.4773259	0.1856061
500	-1340.588	0	-1340.588	499184.7	1.943171	0.6629809
1000	-1098.218	0	-1098.218	266749.2	8.877061	0.6091717
1500	-757.7122	0	-757.7122	58634.77	47.9704	0.3553199
2000	-552.862	0	-552.862	18986.25	150.5716	-0.04338455
2500	-353.5578	0	-353.5578	5941.406	690.9871	-0.1912107
3000	-185.5043	0	-185.5043	4266.963	2620.912	0.09653495
3500	-41.34338	0	-41.34338	3180.657	12678.25	0.1540325
4000	50.48797	0	50.48797	4605.026	43955.14	0.1243196
4500	116.0281	0	116.0281	5650.751	167349.8	0.1541381
5000	132.8758	0	132.8758	9695.854	243715.2	0.1426442
5500	142.9621	0	142.9621	15222.66	489632.7	0.1444149
6000	144.7869	0	144.7869	16919.39	529543	0.1516131
6500	143.5568	0	143.5568	20019.05	734925.1	0.1331716
7000	149.6827	0	149.6827	28079.95	816334.9	0.1525021
7500	149.1581	0	149.1581	25334.98	761457.9	0.1427028
8000	158.7128	0	158.7128	34608.25	1129296	0.145133
8500	153.2017	0	153.2017	33761.17	814734.7	0.1490661
9000	156.4774	0	156.4774	21227.95	835309.8	0.143868
9500	159.0324	0	159.0324	22637.28	712856	0.1502639
10000	158.8362	0	158.8362	18599.03	584825.1	0.1573928
