generation	Posterior	Prior	logLk	sigmasq	root
0	-1752.743	0	-1752.743	864441.3	0.1856061
500	-1614.779	0	-1614.779	286375	0.550085
1000	-1488.007	0	-1488.007	112337.9	1.414507
1500	-1336.783	0	-1336.783	17442.17	1.326035
2000	-1249.861	0	-1249.861	5510.309	1.671464
2500	-1228.645	0	-1228.645	3917.395	1.710323
3000	-1229.272	0	-1229.272	3480.699	1.629944
3500	-1052.186	0	-1052.186	657.9947	1.480646
4000	-1053.803	0	-1053.803	525.8313	1.236731
4500	-1043.884	0	-1043.884	614.3242	1.566668
5000	-1044.303	0	-1044.303	647.2376	1.756715
5500	-1042.9	0	-1042.9	574.3976	1.840884
6000	-1042.9	0	-1042.9	574.3896	1.788329
6500	-1036.558	0	-1036.558	463.3685	2.491988
7000	-1032.591	0	-1032.591	581.4522	2.402337
7500	-1031.832	0	-1031.832	513.1119	2.319797
8000	-1027.414	0	-1027.414	531.8226	2.259007
8500	-1024.156	0	-1024.156	539.3799	2.217199
9000	-901.0926	0	-901.0926	257.568	2.806602
9500	-860.9456	0	-860.9456	98.88272	2.70356
10000	-861.0653	0	-861.0653	99.89142	2.602639
