generation	Posterior	Prior	logLk	sigmasq	root
0	-5053.056	0	-5053.056	522570.9	0.06273161
500	-4977.223	0	-4977.223	432556.2	-0.29441
1000	-4918.865	0	-4918.865	338805.5	-0.4185538
1500	-4920.248	0	-4920.248	310397	0.158255
2000	-4919.427	0	-4919.427	309589	0.2559433
2500	-4723.2	0	-4723.2	182315.1	0.6373088
3000	-4723.977	0	-4723.977	172397.6	1.077051
3500	-4714.338	0	-4714.338	164741.2	1.690172
4000	-4554.073	0	-4554.073	89935.19	1.442554
4500	-4519.233	0	-4519.233	80659.21	1.138284
5000	-4444.338	0	-4444.338	64068.88	0.2690707
5500	-4444.786	0	-4444.786	71715.45	0.3673146
6000	-4084.855	0	-4084.855	18623.73	0.208181
6500	-4021.976	0	-4021.976	14983.72	0.2430199
7000	-3985.523	0	-3985.523	13855.72	0.1676509
7500	-3951.661	0	-3951.661	12665.74	0.1321695
8000	-3719.593	0	-3719.593	5476.665	0.2911427
8500	-3694.885	0	-3694.885	5663.008	0.6703157
9000	-3692.22	0	-3692.22	4653.647	0.5661361
9500	-3682.876	0	-3682.876	4638.792	0.8175788
10000	-3679.557	0	-3679.557	4679.151	0.6330328
