generation	Posterior	Prior	logLk	sigmasq	r	root
0	-3.033434	0	-3.033434	0.002032525	0	0.1856061
500	-3.250326	0	-3.250326	0.002230811	4.033484e-05	0.241134
1000	-3.069021	0	-3.069021	0.002133736	0.0005601916	0.07677074
1500	-3.76178	0	-3.76178	0.002139532	-1.127827e-05	-0.1631951
2000	-2.877238	0	-2.877238	0.001895236	0.00139764	-0.1029045
2500	-2.840448	0	-2.840448	0.001901334	0.002013497	0.08430426
3000	-3.444563	0	-3.444563	0.002005373	0.002036337	0.206322
3500	-4.215909	0	-4.215909	0.00201706	0.002508113	0.1355523
4000	-2.559006	0	-2.559006	0.001837828	0.00204269	0.3153653
4500	-2.595641	0	-2.595641	0.001882556	0.001890266	0.2269868
5000	-4.963374	0	-4.963374	0.001828562	-0.0003877465	0.5567082
5500	-2.163169	0	-2.163169	0.001726072	0.00244691	0.1216124
6000	-3.019809	0	-3.019809	0.001478101	0.003463989	-0.3158431
6500	-3.290369	0	-3.290369	0.001525296	0.001790388	-0.3129182
7000	-1.453525	0	-1.453525	0.001541059	0.002673654	0.3231943
7500	-2.931102	0	-2.931102	0.0014613	0.002574858	0.700288
8000	-2.541781	0	-2.541781	0.001670154	0.002752388	0.4697026
8500	-2.748056	0	-2.748056	0.001678812	0.001957872	-0.2151123
9000	-2.728574	0	-2.728574	0.001996014	0.0006260368	0.08252186
9500	-3.815572	0	-3.815572	0.002044277	0.0002112026	-0.2193492
10000	-2.633424	0	-2.633424	0.001939641	0.001429216	0.2769609
