generation	Posterior	Prior	logLk	sigmasq	r	root
0	67.50377	0	67.50377	0.000802061	0	0.06273161
500	67.36522	0	67.36522	0.0007863054	0.0001721144	-0.1704418
1000	67.06798	0	67.06798	0.0008210969	-2.669634e-05	-0.09934222
1500	65.303	0	65.303	0.0008414985	3.233228e-05	-0.3563441
2000	65.14016	0	65.14016	0.0008875598	-0.0002510446	-0.2852417
2500	65.29462	0	65.29462	0.0008823161	0.0003823692	0.169641
3000	61.24467	0	61.24467	0.0009175704	0.0001208208	-0.5897731
3500	65.19922	0	65.19922	0.0009142817	0.0001344729	-0.181217
4000	63.39631	0	63.39631	0.0008825518	3.107928e-05	-0.4891174
4500	63.17255	0	63.17255	0.0008825518	3.107928e-05	-0.5068466
5000	64.57304	0	64.57304	0.0008414721	-0.0004199431	0.2828796
5500	65.09605	0	65.09605	0.0008328414	4.467345e-05	0.5092518
6000	66.08807	0	66.08807	0.0008328414	4.467345e-05	0.4034573
6500	67.44381	0	67.44381	0.0008328414	4.467345e-05	0.1104054
7000	67.29489	0	67.29489	0.000832662	0.0001546749	0.1952769
7500	67.41007	0	67.41007	0.000832662	0.0001546749	0.1510623
8000	66.83545	0	66.83545	0.0008589344	0.0002266478	0.1037148
8500	66.5427	0	66.5427	0.0007834038	0.0005758273	-0.2236547
9000	61.48338	0	61.48338	0.0007785423	0.001250156	-0.06978772
9500	68.0331	0	68.0331	0.000760775	0.0001546304	-0.004961764
10000	67.39492	0	67.39492	0.0007638431	7.973735e-05	-0.1085979
