"n","min","model","pval","simslope","slope"
142,5,"PGLSSEY",4e-13,0.650201034555634,6.29760901748032
142,5,"PGLSSEYOPTIM",6.4e-15,0.650201034555634,6.87137867744404
142,5,"Compar",3.16987991411111e-10,0.650201034555634,35.9492171374711
144,1,"PGLSSEY",3.9e-30,-1.468220537852,-13.0461889264484
144,1,"PGLSSEYOPTIM",1.5e-26,-1.468220537852,-12.0305628082499
144,1,"Compar",1.48880907602233e-12,-1.468220537852,-61.8652580773978
141,5,"PGLSSEY",0.034,-0.232374080534514,-2.05279324687391
141,5,"PGLSSEYOPTIM",0.082,-0.232374080534514,-1.66317835920349
141,5,"Compar",0.52175353212376,-0.232374080534514,2.44127911552323
140,1,"PGLSSEY",3.7e-10,-0.719380380034242,-6.51113024792088
140,1,"PGLSSEYOPTIM",8.5e-12,-0.719380380034242,-6.90230397775784
140,1,"Compar",1.614698152963e-09,-0.719380380034242,-39.4305030954283
145,5,"PGLSSEY",0.042,0.290432078859274,1.99649836068275
145,5,"PGLSSEYOPTIM",0.058,0.290432078859274,1.73332258358798
145,5,"Compar",7.13215625056662e-05,0.290432078859274,17.6112371621416
142,10,"PGLSSEY",3.6e-12,-0.884985592234182,-5.67796442446517
142,10,"PGLSSEYOPTIM",1.7e-12,-0.884985592234182,-5.76902170973507
142,10,"Compar",1.11825406712285e-07,-0.884985592234182,-25.1794278134043
141,1,"PGLSSEY",1.5e-10,0.423485749420951,6.11792397833538
141,1,"PGLSSEYOPTIM",2.9e-12,0.423485749420951,6.35152116546164
141,1,"Compar",2.20350315771611e-08,0.423485749420951,30.5757638337082
138,1,"PGLSSEY",0.003,-0.127754896546951,-3.21269503782632
138,1,"PGLSSEYOPTIM",0.031,-0.127754896546951,-2.44240624357934
138,1,"Compar",0.000286618542185479,-0.127754896546951,-20.6363207310542
139,10,"PGLSSEY",1.2e-29,-1.3343452749643,-8.38159361834335
139,10,"PGLSSEYOPTIM",3.4e-28,-1.3343452749643,-8.3374203177135
139,10,"Compar",2.06279437975354e-13,-1.3343452749643,-42.5236837098419
138,10,"PGLSSEY",1.8e-18,0.76487016097945,7.01699402169043
138,10,"PGLSSEYOPTIM",1.3e-18,0.76487016097945,7.22263556640136
138,10,"Compar",3.08924796854626e-09,0.76487016097945,29.6371897913371
138,5,"PGLSSEY",1.6e-43,-1.63324317795098,-9.74247931271503
138,5,"PGLSSEYOPTIM",5e-44,-1.63324317795098,-10.1251137643673
138,5,"Compar",0,-1.63324317795098,-48.676616156333
142,20,"PGLSSEY",0.038,-0.125435294138859,-2.72582608936683
142,20,"PGLSSEYOPTIM",0.0018,-0.125435294138859,-4.44380268270194
142,20,"Compar",0.00258609612402561,-0.125435294138859,-18.4973441663744
141,20,"PGLSSEY",4.9e-26,-1.36865398210474,-8.44316925683562
141,20,"PGLSSEYOPTIM",2.8e-26,-1.36865398210474,-8.37380161983904
