"n","min","model","pval","simslope","slope"
142,10,"PGLSSEY",1.1e-34,1.56890821790623,1.24114526841192
142,10,"PGLSSEYOPTIM",4.1e-35,1.56890821790623,1.24900234858476
142,10,"Compar",1.31006316905768e-14,1.56890821790623,6.76591981828704
137,1,"PGLSSEY",8.4e-13,-0.773551855445557,-0.751576558596264
137,1,"PGLSSEYOPTIM",5.8e-15,-0.773551855445557,-0.820041922185637
137,1,"Compar",3.76365605347928e-13,-0.773551855445557,-6.19469824082289
137,20,"PGLSSEY",3e-38,-1.79187007916835,-1.03791254657624
137,20,"PGLSSEYOPTIM",2.1e-38,-1.79187007916835,-1.04316226297939
137,20,"Compar",5.75095526755831e-14,-1.79187007916835,-4.79440887458584
141,10,"PGLSSEY",6.3e-13,1.04392728142833,0.399505882398967
141,10,"PGLSSEYOPTIM",4.6e-13,1.04392728142833,0.414235442676822
NA,NA,"Compar",NA,NA,NA
144,20,"PGLSSEY",0.42,-0.103786843267191,0.112431138287739
144,20,"PGLSSEYOPTIM",0.43,-0.103786843267191,0.108597352313139
144,20,"Compar",0.453897367427732,-0.103786843267191,0.421559436842934
137,5,"PGLSSEY",8.2e-15,1.18604825686152,1.13075705316623
137,5,"PGLSSEYOPTIM",1.9e-15,1.18604825686152,1.11598923622494
137,5,"Compar",9.99200722162641e-13,1.18604825686152,7.04622735053213
141,10,"PGLSSEY",3.9e-54,1.99084880996881,1.41949197276415
141,10,"PGLSSEYOPTIM",2.4e-54,1.99084880996881,1.41294192722059
141,10,"Compar",4.44089209850063e-16,1.99084880996881,5.98464035549301
143,1,"PGLSSEY",9.6e-24,-1.07307611666616,-0.895168890950024
143,1,"PGLSSEYOPTIM",8e-26,-1.07307611666616,-0.937890585958685
143,1,"Compar",3.97838517685045e-09,-1.07307611666616,-4.02247835003985
135,10,"PGLSSEY",2.1e-27,-1.23204891017316,-1.70632233835928
135,10,"PGLSSEYOPTIM",2.7e-27,-1.23204891017316,-1.70645361525015
135,10,"Compar",8.95727936267576e-13,-1.23204891017316,-9.95986058979447
143,5,"PGLSSEY",0.081,0.207042531823937,0.419554003494701
143,5,"PGLSSEYOPTIM",0.035,0.207042531823937,0.495979151135064
143,5,"Compar",0.0475096893989051,0.207042531823937,1.97490554073079
144,1,"PGLSSEY",3e-06,-0.418818552772109,-1.12154568667015
144,1,"PGLSSEYOPTIM",0.00011,-0.418818552772109,-0.926713429727462
144,1,"Compar",0.0340152669826688,-0.418818552772109,-2.31719946537774
138,20,"PGLSSEY",1.3e-39,-1.66608397721906,-1.55978590417726
138,20,"PGLSSEYOPTIM",6.8e-40,-1.66608397721906,-1.57086155481931
138,20,"Compar",2.66453525910038e-15,-1.66608397721906,-7.78444415944415
146,5,"PGLSSEY",6.8e-45,1.40434995761718,0.907990300104605
146,5,"PGLSSEYOPTIM",1.8e-45,1.40434995761718,0.923499153048214
146,5,"Compar",1.52322598978571e-13,1.40434995761718,3.66101849365751
138,10,"PGLSSEY",3.6e-29,1.80832392259766,0.855566871686423
138,10,"PGLSSEYOPTIM",2.9e-29,1.80832392259766,0.847474005294386
138,10,"Compar",1.7812418207086e-12,1.80832392259766,3.82969430367731
141,1,"PGLSSEY",1.4e-27,1.31699829873062,0.620931169074704
141,1,"PGLSSEYOPTIM",4.6e-27,1.31699829873062,0.534211766071929
141,1,"Compar",1.18662857317986e-10,1.31699829873062,3.17602675406709
142,1,"PGLSSEY",0.15,0.29389408722752,0.280564669154522
142,1,"PGLSSEYOPTIM",0.025,0.29389408722752,0.454587585250434
142,1,"Compar",0.00364520167627047,0.29389408722752,2.82405487512341
138,5,"PGLSSEY",1.6e-17,-1.16097462398063,-1.05422992559034
138,5,"PGLSSEYOPTIM",9.3e-18,-1.16097462398063,-1.08740881691561
138,5,"Compar",3.66773278415167e-12,-1.16097462398063,-7.69728005007231
138,1,"PGLSSEY",3.1e-28,-1.28739233309813,-1.88251754140504
138,1,"PGLSSEYOPTIM",2.5e-31,-1.28739233309813,-1.91550929613475
138,1,"Compar",4.89830398464619e-13,-1.28739233309813,-9.79843931536757
140,1,"PGLSSEY",0.82,0.126675581175024,-0.0316268370644248
140,1,"PGLSSEYOPTIM",0.27,0.126675581175024,-0.138867198058074
140,1,"Compar",0.585440925008314,0.126675581175024,-0.287372715661711
141,20,"PGLSSEY",2.4e-22,-0.905402999446686,-1.87089088448083
141,20,"PGLSSEYOPTIM",1.2e-21,-0.905402999446686,-1.83396919425001
141,20,"Compar",1.3659962050383e-11,-0.905402999446686,-9.27504372080313
143,20,"PGLSSEY",6.9e-08,-0.932297355010605,-0.769435852657727
143,20,"PGLSSEYOPTIM",1.1e-07,-0.932297355010605,-0.75938436761607
143,20,"Compar",1.95436302696805e-08,-0.932297355010605,-4.95401072565459
140,5,"PGLSSEY",7.3e-40,-1.29314599767662,-1.52685159441747
140,5,"PGLSSEYOPTIM",4.5e-38,-1.29314599767662,-1.54509312508658
140,5,"Compar",9.1926466438963e-14,-1.29314599767662,-7.49240066296396
