"n","min","model","pval","simslope","slope"
140,20,"PGLSSEY",0.82,0,1.26532579688512e-08
140,20,"PGLSSEYOPTIM",0.87,0,9.32306347670193e-09
140,20,"Compar",1.51668034085173e-05,0,1.00995729279962e-06
137,10,"PGLSSEY",0.48,0,-1.56053367978902e-08
137,10,"PGLSSEYOPTIM",0.44,0,-1.75232559018163e-08
137,10,"Compar",0.314146302595713,0,-7.8222576481493e-08
141,1,"PGLSSEY",0.76,0,9.0657017069443e-09
141,1,"PGLSSEYOPTIM",0.68,0,-1.23713848302107e-08
141,1,"Compar",2.54877006879983e-05,0,-5.54544975207257e-07
139,10,"PGLSSEY",0.95,0,2.02520839496437e-09
139,10,"PGLSSEYOPTIM",0.95,0,1.99824660904198e-09
139,10,"Compar",0.00357189594699969,0,-3.71952107129704e-07
137,1,"PGLSSEY",0.86,0,-2.47045567078992e-08
137,1,"PGLSSEYOPTIM",0.86,0,-2.67533332139077e-08
137,1,"Compar",0.633925244949374,0,-2.64492410330029e-07
139,10,"PGLSSEY",0.44,0,-4.4859672212903e-08
139,10,"PGLSSEYOPTIM",0.39,0,-5.01560437531871e-08
139,10,"Compar",0.29178846236025,0,2.1555101027791e-07
141,20,"PGLSSEY",0.35,0,-2.28316058429352e-08
141,20,"PGLSSEYOPTIM",0.35,0,-2.27639564983084e-08
141,20,"Compar",0.345312352957325,0,7.82589176443681e-08
137,20,"PGLSSEY",0.82,0,-1.43480413568019e-08
137,20,"PGLSSEYOPTIM",0.79,0,-1.72439033530147e-08
137,20,"Compar",0.104714773631573,0,3.51398460986696e-07
141,5,"PGLSSEY",0.4,0,2.68568032316126e-08
141,5,"PGLSSEYOPTIM",0.3,0,3.28408955548607e-08
141,5,"Compar",0.00534865389216144,0,3.03030643068161e-07
137,20,"PGLSSEY",0.93,0,-2.49620498074172e-09
137,20,"PGLSSEYOPTIM",0.95,0,-1.82781777134665e-09
137,20,"Compar",0.615122920079598,0,-4.75673670382089e-08
145,1,"PGLSSEY",0.23,0,7.82486923171875e-08
145,1,"PGLSSEYOPTIM",0.09,0,1.11228732307064e-07
145,1,"Compar",0.0001882147642851,0,1.07263394520156e-06
142,1,"PGLSSEY",0.63,0,-2.63864937403226e-08
142,1,"PGLSSEYOPTIM",0.54,0,-3.47049311145343e-08
142,1,"Compar",0.223398318046605,0,-2.33295257537328e-07
138,5,"PGLSSEY",0.29,0,-2.1860445430677e-08
138,5,"PGLSSEYOPTIM",0.36,0,-1.86415816296667e-08
138,5,"Compar",0.00760710387736108,0,-1.94860566738656e-07
139,10,"PGLSSEY",0.87,0,-7.43727696823189e-09
139,10,"PGLSSEYOPTIM",0.85,0,-8.96528129792518e-09
139,10,"Compar",0.167195443414959,0,2.20839130206611e-07
138,10,"PGLSSEY",0.86,0,-3.72061243783181e-09
138,10,"PGLSSEYOPTIM",0.67,0,-9.11399051137891e-09
138,10,"Compar",0.484885533236718,0,4.93197163048399e-08
143,5,"PGLSSEY",0.46,0,1.48288907458472e-08
143,5,"PGLSSEYOPTIM",0.49,0,1.36416340420462e-08
143,5,"Compar",0.762876420852295,0,2.15502190900334e-08
140,5,"PGLSSEY",0.55,0,-1.54522568994342e-08
140,5,"PGLSSEYOPTIM",0.53,0,-1.61453076386942e-08
140,5,"Compar",0.828252753725877,0,-1.97375087729979e-08
141,10,"PGLSSEY",0.65,0,1.03529506987066e-08
141,10,"PGLSSEYOPTIM",0.39,0,1.9238304531159e-08
141,10,"Compar",0.29322088683037,0,8.15488444649629e-08
141,1,"PGLSSEY",0.96,0,5.00061761369114e-09
141,1,"PGLSSEYOPTIM",0.93,0,-8.25539732293551e-09
141,1,"Compar",0.860870962270103,0,5.17215720545005e-08
137,1,"PGLSSEY",0.93,0,2.07276626918223e-09
137,1,"PGLSSEYOPTIM",0.83,0,-5.18821088454462e-09
137,1,"Compar",0.16003434462794,0,-1.21943944661157e-07
139,1,"PGLSSEY",0.59,0,1.28625019470691e-08
139,1,"PGLSSEYOPTIM",0.66,0,1.04111623090744e-08
139,1,"Compar",0.884825653073314,0,1.13876525384558e-08
142,5,"PGLSSEY",0.41,0,1.02951423981514e-07
142,5,"PGLSSEYOPTIM",0.34,0,-1.1747117441497e-07
142,5,"Compar",0.00894792642011799,0,-1.19645391898073e-06
143,5,"PGLSSEY",0.83,0,-2.80442174863787e-08
143,5,"PGLSSEYOPTIM",0.96,0,6.41065313109078e-09
143,5,"Compar",0.629265500543447,0,1.99189908844695e-07
136,20,"PGLSSEY",0.8,0,1.20736848317129e-08
136,20,"PGLSSEYOPTIM",0.99,0,6.83858701348724e-10
136,20,"Compar",0.15864240568602,0,2.20792815450023e-07
141,20,"PGLSSEY",0.92,0,-1.07694103040616e-08
141,20,"PGLSSEYOPTIM",0.97,0,-3.88857178083316e-09
141,20,"Compar",0.385034237300802,0,3.08750166647067e-07
