"","taxa_id","Kingdom","Phylum","Class","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","SE_simple","female_maturity","male_maturity","Gestation","Weaning","Infancy","litter_size","litters_year","interbirth_interval","birth_weight","weaning_weight","adult_weight","growth_rate","max_longevity","metabolic_rate"
"1",548,"Animalia","Chordata","Reptilia","Squamata","Boidae","Aspidites","Aspidites ramsayi",NA,5,2,0.4,"-",2,2,0.4,1,0,0,0,"-",5,2,5,2,0.447213595,-1,-1,2.31755424063116,-1,8.9399230894346,10.5,-1,-1,60,-1,6906,-1,271.2,-1
"2",1115,"Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Ceyx","Ceyx pictus",NA,4,0,0,"-",0,0,0,NA,0,0,NA,"-",4,0,4,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",7,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Philander","Didelphis marsupialis","Oppossum",69,19,0.275362319,"-",19,13,0.188405797,0.684210526,6,0.086956522,0.315789474,"-",69,19,69,24,0.120385853,5.85141354372124,7.88954635108481,0.394477317554241,3.09007232084155,3.09007232084155,7.09,-1,6.57,0.2,96,1530,-1,50.4,611.34
"4",3334,"Animalia","Chordata","Aves","Passeriformes","Pittidae","Pitta","Pitta sordida","Hooded Pitta",89,0,0,"-",0,0,0,NA,0,0,NA,"-",89,0,89,11,0.105999788,-1,-1,-1,-1,1,3.85,-1,-1,-1,-1,64,-1,-1,-1
"5",1086,"Animalia","Chordata","Mammalia","Perissodactyla","Rhinocerotidae","Ceratotherium","Ceratotherium simum",NA,14,1,0.071428571,"-",1,1,0.071428571,1,0,0,0,"-",14,1,14,8,0.267261242,54.0105193951348,54.0105193951348,16.9296515450362,11.9986850756082,11.9986850756082,-1,0.4,33.17,52500,274482.35,2175000,-1,540,-1
"6",19532,"Animalia","Chordata","Actinopteri","Cichliformes","Cichlidae","Pseudotropheus",NA,NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3437,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacanthidae","Pomacanthus","Pomacanthus zonipectus",NA,1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",3305,"Animalia","Chordata","Reptilia","Squamata","Gekkonidae","Phyllurus","Phyllurus platurus",NA,3,0,0,"-",0,0,0,NA,0,0,NA,"-",3,0,3,1,0.577350269,-1,-1,-1,-1,5.44306821728407,-1,-1,-1,-1,0.63,1.4,-1,165.12,-1
"9",19474,"Animalia","Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia holbrooki","Holbrooks Gambusia",1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2129,"Animalia","Chordata","Aves","Coraciiformes","Alcedinidae","Halcyon","Halcyon senegalensis",NA,4,0,0,"-",0,0,0,NA,0,0,NA,"-",4,0,4,3,0.5,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,64.5,-1,-1,-1
"11",19383,"Animalia","Teleostei","Ostariophysi","Characiformes","Characidae","Brachychalcinus","Brachychalcinus orbicularis","Characin",1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2968,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Neotragus","Neotragus pygmaeus",NA,2,0,0,"-",0,0,0,NA,0,0,NA,"-",2,0,2,1,0.707106781,16.0088099934254,22.5180802103879,6.01577909270217,-1,58.5994,-1,-1,0.725530459,800,-1,2250,-1,133.2,-1
"13",19761,"Animalia","Unionoidea","Unionidae","Ambleminae","Amblemini","Amblema","Amblema plicata","Three Ridge Mussel",1,0,0,"-",0,0,0,NA,0,0,NA,"-",1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
