n,min,model,pval,simslope,slope
298,1,PGLSSEY,0.22,0,2.30E-08
298,1,PGLSSEYOPTIM,0.12,0,2.84E-08
298,1,Compar,1.33E-05,0,3.04E-07
297,1,PGLSSEY,1,0,-2.86E-11
297,1,PGLSSEYOPTIM,0.86,0,3.87E-09
NA,NA,Compar,NA,NA,NA
296,5,PGLSSEY,0.07,0,-3.48E-08
296,5,PGLSSEYOPTIM,0.081,0,-3.36E-08
NA,NA,Compar,NA,NA,NA
299,1,PGLSSEY,0.96,0,-5.89E-09
299,1,PGLSSEYOPTIM,0.93,0,9.62E-09
299,1,Compar,0.988271957,0,-5.85E-09
296,10,PGLSSEY,0.8,0,-4.39E-09
296,10,PGLSSEYOPTIM,0.9,0,-2.18E-09
296,10,Compar,0.023349245,0,-1.44E-07
295,1,PGLSSEY,0.97,0,3.46E-09
295,1,PGLSSEYOPTIM,0.7,0,3.43E-08
295,1,Compar,0.001799881,0,1.05E-06
297,1,PGLSSEY,0.075,0,2.46E-08
297,1,PGLSSEYOPTIM,0.018,0,3.22E-08
297,1,Compar,0.008384725,0,1.34E-07
295,5,PGLSSEY,0.47,0,-1.02E-08
295,5,PGLSSEYOPTIM,0.32,0,-1.41E-08
295,5,Compar,1.57E-07,0,-3.37E-07
313,1,PGLSSEY,0.88,0,3.19E-09
313,1,PGLSSEYOPTIM,0.96,0,-1.16E-09
313,1,Compar,0.002256109,0,-2.27E-07
298,1,PGLSSEY,0.95,0,-4.00E-09
298,1,PGLSSEYOPTIM,0.33,0,5.92E-08
298,1,Compar,0.661363725,0,9.77E-08
297,1,PGLSSEY,0.94,0,2.90E-09
297,1,PGLSSEYOPTIM,0.3,0,4.28E-08
297,1,Compar,0.000240043,0,5.60E-07
301,1,PGLSSEY,0.54,0,1.16E-08
301,1,PGLSSEYOPTIM,0.86,0,3.36E-09
NA,NA,Compar,NA,NA,NA
301,10,PGLSSEY,0.89,0,4.83E-09
301,10,PGLSSEYOPTIM,0.92,0,-3.66E-09
301,10,Compar,0.245330165,0,-1.32E-07
295,1,PGLSSEY,0.88,0,-2.26E-09
295,1,PGLSSEYOPTIM,0.83,0,3.13E-09
295,1,Compar,0.00026348,0,1.86E-07
300,1,PGLSSEY,0.65,0,8.71E-09
300,1,PGLSSEYOPTIM,0.25,0,2.22E-08
NA,NA,Compar,NA,NA,NA
303,1,PGLSSEY,0.11,0,2.15E-08
303,1,PGLSSEYOPTIM,0.093,0,2.27E-08
303,1,Compar,3.10E-05,0,2.30E-07
308,10,PGLSSEY,0.54,0,1.86E-08
308,10,PGLSSEYOPTIM,0.52,0,1.93E-08
308,10,Compar,0.748860685,0,3.26E-08
318,5,PGLSSEY,0.73,0,-6.07E-09
318,5,PGLSSEYOPTIM,0.49,0,-1.23E-08
NA,NA,Compar,NA,NA,NA
307,1,PGLSSEY,0.97,0,1.23E-09
307,1,PGLSSEYOPTIM,0.86,0,-5.83E-09
307,1,Compar,1.32E-05,0,-5.86E-07
303,1,PGLSSEY,0.73,0,6.69E-09
303,1,PGLSSEYOPTIM,0.53,0,1.22E-08
303,1,Compar,3.59E-09,0,-5.04E-07
299,1,PGLSSEY,0.12,0,1.58E-07
299,1,PGLSSEYOPTIM,0.37,0,8.93E-08
299,1,Compar,3.42E-11,0,3.26E-06
308,20,PGLSSEY,0.22,0,-1.68E-08
308,20,PGLSSEYOPTIM,0.22,0,-1.67E-08
308,20,Compar,0.000285404,0,-1.79E-07
300,20,PGLSSEY,0.11,0,2.11E-07
300,20,PGLSSEYOPTIM,0.15,0,1.91E-07
300,20,Compar,0.004864929,0,1.38E-06
297,1,PGLSSEY,0.76,0,-1.96E-08
297,1,PGLSSEYOPTIM,0.74,0,-2.24E-08
NA,NA,Compar,NA,NA,NA
308,10,PGLSSEY,0.89,0,2.09E-09
308,10,PGLSSEYOPTIM,0.86,0,2.61E-09
308,10,Compar,0.183170275,0,-6.94E-08
299,5,PGLSSEY,0.43,0,3.06E-08
299,5,PGLSSEYOPTIM,0.37,0,3.55E-08
299,5,Compar,0.247560197,0,-1.52E-07
308,1,PGLSSEY,0.46,0,2.60E-08
308,1,PGLSSEYOPTIM,0.74,0,1.16E-08
308,1,Compar,4.17E-06,0,6.95E-07
309,10,PGLSSEY,0.45,0,2.44E-08
309,10,PGLSSEYOPTIM,0.34,0,3.10E-08
NA,NA,Compar,NA,NA,NA
306,5,PGLSSEY,0.64,0,1.99E-08
306,5,PGLSSEYOPTIM,0.66,0,1.85E-08
306,5,Compar,0.063805332,0,2.70E-07
298,1,PGLSSEY,0.33,0,-9.00E-08
298,1,PGLSSEYOPTIM,0.74,0,-3.02E-08
298,1,Compar,3.90E-13,0,-3.66E-06
298,10,PGLSSEY,0.5,0,-1.46E-08
298,10,PGLSSEYOPTIM,0.47,0,-1.54E-08
298,10,Compar,0.001317441,0,-2.56E-07
304,5,PGLSSEY,0.82,0,7.95E-09
304,5,PGLSSEYOPTIM,0.97,0,-1.19E-09
304,5,Compar,0.952599966,0,-7.00E-09
312,10,PGLSSEY,0.94,0,-2.38E-09
312,10,PGLSSEYOPTIM,0.52,0,1.89E-08
NA,NA,Compar,NA,NA,NA
297,1,PGLSSEY,0.32,0,-2.13E-08
297,1,PGLSSEYOPTIM,0.21,0,-2.71E-08
297,1,Compar,0.012423301,0,-1.96E-07
304,1,PGLSSEY,0.59,0,9.52E-09
304,1,PGLSSEYOPTIM,0.87,0,-2.85E-09
NA,NA,Compar,NA,NA,NA
304,5,PGLSSEY,0.15,0,2.54E-08
304,5,PGLSSEYOPTIM,0.19,0,2.31E-08
304,5,Compar,0.003662458,0,1.89E-07
303,10,PGLSSEY,0.5,0,-9.22E-09
303,10,PGLSSEYOPTIM,0.22,0,-1.68E-08
303,10,Compar,0.001317693,0,-1.67E-07
303,1,PGLSSEY,0.09,0,-1.17E-07
303,1,PGLSSEYOPTIM,0.26,0,7.55E-08
303,1,Compar,0.035430396,0,-4.89E-07
301,1,PGLSSEY,0.65,0,1.93E-08
301,1,PGLSSEYOPTIM,0.34,0,4.12E-08
301,1,Compar,0.017511663,0,3.50E-07
295,20,PGLSSEY,0.75,0,-1.46E-08
295,20,PGLSSEYOPTIM,0.69,0,-1.88E-08
NA,NA,Compar,NA,NA,NA
284,10,PGLSSEY,0.62,0,-2.35E-08
284,10,PGLSSEYOPTIM,0.52,0,-3.01E-08
NA,NA,Compar,NA,NA,NA
310,5,PGLSSEY,0.33,0,5.16E-08
310,5,PGLSSEYOPTIM,0.24,0,6.36E-08
310,5,Compar,0.13626737,0,2.87E-07
301,1,PGLSSEY,0.52,0,1.34E-08
301,1,PGLSSEYOPTIM,0.3,0,2.24E-08
301,1,Compar,0.001991435,0,-2.36E-07
302,20,PGLSSEY,0.89,0,5.20E-09
302,20,PGLSSEYOPTIM,0.95,0,-2.37E-09
302,20,Compar,6.04E-06,0,-6.70E-07
292,10,PGLSSEY,0.58,0,4.76E-08
292,10,PGLSSEYOPTIM,0.51,0,5.64E-08
292,10,Compar,0.792301075,0,-7.53E-08
301,1,PGLSSEY,0.87,0,7.34E-09
301,1,PGLSSEYOPTIM,0.72,0,1.55E-08
301,1,Compar,0.089631972,0,2.51E-07
302,5,PGLSSEY,1,0,9.69E-11
302,5,PGLSSEYOPTIM,0.82,0,-5.12E-09
302,5,Compar,0.365550089,0,6.86E-08
308,20,PGLSSEY,0.22,0,-1.27E-07
