"n","min","model","pval","simslope","slope"
298,20,"PGLSSEY",1.8e-97,-1.87182853215848,-5.17447970622612
298,20,"PGLSSEYOPTIM",6.4e-99,-1.87182853215848,-5.2600847984398
298,20,"Compar",0,-1.87182853215848,-20.2142268437633
288,10,"PGLSSEY",0.0034,0.202369208934902,0.882122630512451
288,10,"PGLSSEYOPTIM",0.011,0.202369208934902,0.770043725511496
288,10,"Compar",0.066235501900227,0.202369208934902,2.33668903020043
300,10,"PGLSSEY",5.4e-45,0.98857152779188,3.45993463819373
300,10,"PGLSSEYOPTIM",1.2e-44,0.98857152779188,3.51975328357615
300,10,"Compar",0,0.98857152779188,19.0965105307061
298,1,"PGLSSEY",1.5e-78,1.58915029152838,6.25925728221309
298,1,"PGLSSEYOPTIM",3.4e-75,1.58915029152838,6.39110912662244
298,1,"Compar",2.66453525910038e-15,1.58915029152838,20.0106211666874
307,10,"PGLSSEY",2.7e-116,-1.97882926920347,-5.09683174103041
307,10,"PGLSSEYOPTIM",2.7e-118,-1.97882926920347,-5.1398252221419
307,10,"Compar",0,-1.97882926920347,-21.65115697951
293,5,"PGLSSEY",1.7e-83,-1.66245249141709,-8.18807920132646
293,5,"PGLSSEYOPTIM",1.5e-81,-1.66245249141709,-7.99258940223623
293,5,"Compar",0,-1.66245249141709,-31.631714504923
305,1,"PGLSSEY",2.5e-46,-1.09354653848747,-5.43751366390051
305,1,"PGLSSEYOPTIM",3.7e-44,-1.09354653848747,-5.26402115144949
305,1,"Compar",3.5527136788005e-15,-1.09354653848747,-23.3788602625705
297,1,"PGLSSEY",1.4e-06,0.308988440844602,1.56193624037364
297,1,"PGLSSEYOPTIM",1.7e-05,0.308988440844602,1.36637159258664
297,1,"Compar",0.00158720397190115,0.308988440844602,4.64040835007938
312,10,"PGLSSEY",2.3e-85,1.53492388764028,5.78130130708342
312,10,"PGLSSEYOPTIM",5.5e-87,1.53492388764028,5.84838980975105
312,10,"Compar",0,1.53492388764028,23.0954742387985
309,10,"PGLSSEY",0.013,0.2015050896241,0.767223785466332
309,10,"PGLSSEYOPTIM",0.0012,0.2015050896241,1.01793338755554
309,10,"Compar",1.21308110223595e-08,0.2015050896241,9.55809453180931
306,1,"PGLSSEY",1.3e-05,0.242976145478673,1.84412480989492
306,1,"PGLSSEYOPTIM",0.00035,0.242976145478673,1.57595045956408
306,1,"Compar",0.989081096489143,0.242976145478673,0.0244612550304737
