"n","min","model","pval","simslope","slope"
44,20,"PGLSSEY",6.3e-32,-0.148265239512354,-1.9201598910588
44,20,"PGLSSEYOPTIM",4.3e-29,-0.148265239512354,-1.9162575171404
44,20,"Compar",4.8526738183341e-11,-0.148265239512354,-4.04761147800055
46,5,"PGLSSEY",1e-34,-1.15004763361297,-1.79790782097723
46,5,"PGLSSEYOPTIM",9.3e-33,-1.15004763361297,-1.76044799737171
46,5,"Compar",2.22044604925031e-15,-1.15004763361297,-3.98691888890082
47,20,"PGLSSEY",6.1e-24,1.25358034967089,1.05832651425756
47,20,"PGLSSEYOPTIM",7.6e-23,1.25358034967089,0.978314941199495
47,20,"Compar",4.40931735568029e-11,1.25358034967089,2.66889693651649
48,1,"PGLSSEY",8.3e-54,1.78119358571439,4.84250093990731
48,1,"PGLSSEYOPTIM",8.3e-53,1.78119358571439,4.89815958598685
48,1,"Compar",2.94511986820289e-06,1.78119358571439,9.65120778225518
48,10,"PGLSSEY",9.6e-49,0.16152689550016,3.12275666438171
48,10,"PGLSSEYOPTIM",3.7e-48,0.16152689550016,3.14054215769744
48,10,"Compar",8.87109941061226e-10,0.16152689550016,6.00959886686326
47,10,"PGLSSEY",1.3e-45,0.0955146001342304,2.99474356459149
47,10,"PGLSSEYOPTIM",7.9e-44,0.0955146001342304,2.97032208715372
47,10,"Compar",4.78639350376397e-11,0.0955146001342304,5.80203806016715
48,1,"PGLSSEY",3.5e-57,-1.09549231265262,-5.11546654123204
48,1,"PGLSSEYOPTIM",5.7e-57,-1.09549231265262,-5.11276224927479
48,1,"Compar",1.38050788578425e-08,-1.09549231265262,-15.99165442368
46,1,"PGLSSEY",1.5e-42,-0.423727252552115,-2.67120542763768
46,1,"PGLSSEYOPTIM",3.2e-43,-0.423727252552115,-2.66295805387708
46,1,"Compar",1.23478187896708e-07,-0.423727252552115,-5.48865155864389
48,1,"PGLSSEY",5.6e-51,0.312639104441957,3.37531997029864
48,1,"PGLSSEYOPTIM",2.9e-50,0.312639104441957,3.38045212992575
48,1,"Compar",1.35900179998316e-10,0.312639104441957,7.56859873419657
45,1,"PGLSSEY",1.4e-44,-1.71638560132315,-3.44344639023203
45,1,"PGLSSEYOPTIM",2.6e-42,-1.71638560132315,-3.36821789062412
45,1,"Compar",7.10791669966682e-09,-1.71638560132315,-7.41395724621742
47,20,"PGLSSEY",2.6e-51,0.673563818470872,4.36581896904489
47,20,"PGLSSEYOPTIM",9.2e-53,0.673563818470872,4.3039556517495
47,20,"Compar",3.55714790956085e-10,0.673563818470872,8.83205447233686
48,10,"PGLSSEY",4.3e-50,1.26227997489139,3.66103106044734
48,10,"PGLSSEYOPTIM",4e-51,1.26227997489139,3.63391165646203
48,10,"Compar",9.78734426837491e-10,1.26227997489139,7.54143461482807
47,1,"PGLSSEY",1.4e-32,-1.08140303868145,-1.93762716094131
47,1,"PGLSSEYOPTIM",5.6e-32,-1.08140303868145,-1.90609219179112
47,1,"Compar",3.74247762247037e-06,-1.08140303868145,-3.70504152833654
50,20,"PGLSSEY",3.6e-46,0.43514443526744,2.85408656614296
50,20,"PGLSSEYOPTIM",5.9e-47,0.43514443526744,2.95585328367112
50,20,"Compar",1.43485223702555e-12,0.43514443526744,6.5575004555214
48,10,"PGLSSEY",2.7e-65,-1.22033182667313,-7.02867755882504
48,10,"PGLSSEYOPTIM",2e-65,-1.22033182667313,-7.02499153870634
48,10,"Compar",2.68118860446975e-12,-1.22033182667313,-15.9601450748292
47,5,"PGLSSEY",1.7e-49,-1.73184331604825,-3.71936201226562
47,5,"PGLSSEYOPTIM",8e-51,-1.73184331604825,-3.68636376309616
47,5,"Compar",1.5897660965436e-10,-1.73184331604825,-7.40906687867704
43,1,"PGLSSEY",6.3e-44,1.28446430321051,3.43334211644162
43,1,"PGLSSEYOPTIM",4.4e-47,1.28446430321051,3.55077550862523
43,1,"Compar",3.25442117699026e-10,1.28446430321051,8.08781361108948
45,1,"PGLSSEY",1.2e-60,1.9532827274601,7.11215010338223
45,1,"PGLSSEYOPTIM",6.3e-59,1.9532827274601,7.14818567115054
45,1,"Compar",3.7717932590553e-06,1.9532827274601,15.1310581768936
46,5,"PGLSSEY",7.8e-51,-1.98434981721099,-3.98662324533488
46,5,"PGLSSEYOPTIM",3.7e-49,-1.98434981721099,-3.97296032611891
46,5,"Compar",1.70181668757152e-09,-1.98434981721099,-9.87632779826944
46,10,"PGLSSEY",1.8e-52,-1.44052156517945,-4.92866667026199
46,10,"PGLSSEYOPTIM",1e-50,-1.44052156517945,-4.97725275420036
46,10,"Compar",3.48396866911571e-11,-1.44052156517945,-9.9997997915012
47,20,"PGLSSEY",2.7e-50,-1.32667403108166,-3.93568877967887
47,20,"PGLSSEYOPTIM",7.4e-52,-1.32667403108166,-3.93655023250553
47,20,"Compar",3.68860497701462e-12,-1.32667403108166,-9.19459387830202
NA,NA,"PGLSSEY",NA,NA,NA
NA,NA,"PGLSSEYOPTIM",NA,NA,NA
NA,NA,"Compar",NA,NA,NA
46,20,"PGLSSEY",1.7e-43,-1.16835621721533,-3.38096709928206
46,20,"PGLSSEYOPTIM",3e-44,-1.16835621721533,-3.31892365555756
46,20,"Compar",1.03179242927354e-10,-1.16835621721533,-6.69910995094849
48,5,"PGLSSEY",1.1e-52,-0.885981913722176,-3.16588526620618
48,5,"PGLSSEYOPTIM",6.3e-54,-0.885981913722176,-3.18225565733949
48,5,"Compar",1.33226762955019e-15,-0.885981913722176,-6.4753971834702
48,10,"PGLSSEY",3.4e-50,-1.71434106877608,-3.39434979399791
48,10,"PGLSSEYOPTIM",2.2e-49,-1.71434106877608,-3.35853918641433
48,10,"Compar",1.06186170967248e-11,-1.71434106877608,-7.53699798347126
46,1,"PGLSSEY",2.4e-48,-0.648459384888306,-3.47699071842819
46,1,"PGLSSEYOPTIM",1.2e-48,-0.648459384888306,-3.47243332279806
46,1,"Compar",3.20518633856182e-09,-0.648459384888306,-7.57244918949266
48,10,"PGLSSEY",6.4e-45,1.60731928849649,2.56235719762557
48,10,"PGLSSEYOPTIM",2e-46,1.60731928849649,2.53814748275307
48,10,"Compar",4.68070027181966e-13,1.60731928849649,6.14556182188118
44,20,"PGLSSEY",9.8e-53,0.626793766015466,5.4538146669229
44,20,"PGLSSEYOPTIM",6e-53,0.626793766015466,5.39126143399166
44,20,"Compar",3.72964104045082e-10,0.626793766015466,11.6463718465041
49,1,"PGLSSEY",3.5e-41,1.75766704361763,2.04341009125221
49,1,"PGLSSEYOPTIM",6e-42,1.75766704361763,2.0601918602658
49,1,"Compar",8.83832889098102e-08,1.75766704361763,4.22270662301989
46,5,"PGLSSEY",2.4e-42,-1.59078948453167,-2.48150782611052
46,5,"PGLSSEYOPTIM",1.2e-41,-1.59078948453167,-2.44470412854642
46,5,"Compar",6.13267214788493e-10,-1.59078948453167,-5.63510795739776
47,20,"PGLSSEY",1.2e-30,1.37038910040654,1.66111930748883
47,20,"PGLSSEYOPTIM",6.9e-30,1.37038910040654,1.62652541807117
47,20,"Compar",5.76362513271533e-10,1.37038910040654,4.2552684719513
43,10,"PGLSSEY",1.9e-43,-1.17981908503044,-3.71973852535145
43,10,"PGLSSEYOPTIM",3.9e-43,-1.17981908503044,-3.65460672289706
43,10,"Compar",4.13484357864036e-10,-1.17981908503044,-7.53253750979784
46,5,"PGLSSEY",3.1e-32,-0.597785641518285,-1.57740143808805
46,5,"PGLSSEYOPTIM",1.9e-31,-0.597785641518285,-1.49718399923154
46,5,"Compar",8.43769498715119e-15,-0.597785641518285,-3.48342630402619
49,10,"PGLSSEY",3.4e-45,-0.844505608933318,-2.85341503726491
49,10,"PGLSSEYOPTIM",3.1e-44,-0.844505608933318,-2.84224817917801
49,10,"Compar",6.94950763602264e-11,-0.844505608933318,-5.64246940065699
46,1,"PGLSSEY",9.4e-48,0.744339988292828,3.61798874517887
46,1,"PGLSSEYOPTIM",2.2e-48,0.744339988292828,3.60990845220754
46,1,"Compar",1.80757631085271e-11,0.744339988292828,7.76344303701109
49,5,"PGLSSEY",2.2e-56,-0.184413846199885,-4.63953525052942
49,5,"PGLSSEYOPTIM",6.9e-57,-0.184413846199885,-4.70210717297015
49,5,"Compar",1.30907729101182e-10,-0.184413846199885,-9.2045455660911
45,5,"PGLSSEY",5.9e-39,0.910329046041808,2.932053930329
45,5,"PGLSSEYOPTIM",6.6e-37,0.910329046041808,2.86367737745166
45,5,"Compar",1.65752522818252e-09,0.910329046041808,6.55344109400189
45,20,"PGLSSEY",6e-27,0.866334466309652,0.93480302983965
45,20,"PGLSSEYOPTIM",4.9e-27,0.866334466309652,0.925821460236249
45,20,"Compar",1.09590780894564e-10,0.866334466309652,2.59560729841253
44,1,"PGLSSEY",2e-40,-0.0700906120657099,-2.8315446255737
44,1,"PGLSSEYOPTIM",2.1e-38,-0.0700906120657099,-2.63252938783986
44,1,"Compar",3.86231361559908e-06,-0.0700906120657099,-5.45016725015191
47,10,"PGLSSEY",1.9e-41,-0.609771985288843,-2.61404121008534
47,10,"PGLSSEYOPTIM",3.2e-42,-0.609771985288843,-2.65547152304814
47,10,"Compar",1.20821130877857e-10,-0.609771985288843,-5.4696115278789
49,20,"PGLSSEY",6.6e-47,-1.93344224853348,-3.19466613736764
49,20,"PGLSSEYOPTIM",6.4e-48,-1.93344224853348,-3.08026130181263
49,20,"Compar",5.80504533331805e-11,-1.93344224853348,-6.74752504916496
47,10,"PGLSSEY",2.1e-37,-0.297984352796512,-2.5889587386786
47,10,"PGLSSEYOPTIM",1.3e-38,-0.297984352796512,-2.63793203205782
47,10,"Compar",8.90709728196271e-10,-0.297984352796512,-6.17041217083846
48,1,"PGLSSEY",9.5e-39,1.87081707108998,2.29975886736259
48,1,"PGLSSEYOPTIM",1e-39,1.87081707108998,2.36467702443739
48,1,"Compar",1.17629006690656e-06,1.87081707108998,4.29253728074137
46,10,"PGLSSEY",6.7e-50,0.589177949947541,4.36789190748808
46,10,"PGLSSEYOPTIM",4.8e-50,0.589177949947541,4.26432227472344
46,10,"Compar",1.69260827576068e-10,0.589177949947541,11.0020960199753
49,5,"PGLSSEY",1.7e-49,0.571228187255437,2.79851343150375
49,5,"PGLSSEYOPTIM",8.3e-50,0.571228187255437,2.76922086706215
49,5,"Compar",2.47446507728455e-12,0.571228187255437,6.57354581092126
47,20,"PGLSSEY",6.4e-36,1.17433047486952,2.1047793041605
47,20,"PGLSSEYOPTIM",7.5e-39,1.17433047486952,2.27011279103938
47,20,"Compar",4.09894340691608e-13,1.17433047486952,4.55529394178098
47,5,"PGLSSEY",3.9e-47,0.471611897948961,3.28214148689684
47,5,"PGLSSEYOPTIM",3.8e-45,0.471611897948961,3.26088905248692
47,5,"Compar",9.94151871935856e-10,0.471611897948961,6.86703698658954
49,1,"PGLSSEY",2.9e-38,-1.14623687845126,-1.62306723369836
49,1,"PGLSSEYOPTIM",5.9e-40,-1.14623687845126,-1.63469508001465
