"","n","min","model","pval","simslope","slope"
"logx",45,1,"PGLSSEY",0.13,0.358992553006497,5.93470534328178
"logx1",45,1,"PGLSSEYOPTIM",0.073,0.358992553006497,6.48473362759672
"1",45,1,"Compar",0.0329106060919186,0.358992553006497,32.9012574802359
"logx2",48,1,"PGLSSEY",7.4e-12,1.0908984008494,9.84818099746608
"logx11",48,1,"PGLSSEYOPTIM",1.8e-11,1.0908984008494,8.4177583249765
"11",48,1,"Compar",6.46629143719046e-06,1.0908984008494,41.6813967756864
"logx3",49,1,"PGLSSEY",5.8e-13,1.79540785528832,24.1353743226017
"logx12",49,1,"PGLSSEYOPTIM",4.3e-13,1.79540785528832,24.2414570514834
"12",49,1,"Compar",1.07415255379273e-06,1.79540785528832,138.145632868952
"logx4",44,1,"PGLSSEY",0.86,-0.105635557782882,0.383427791506197
"logx13",44,1,"PGLSSEYOPTIM",0.95,-0.105635557782882,-0.129068330812412
"13",44,1,"Compar",0.0373934690132436,-0.105635557782882,-18.0026778054632
"logx5",46,1,"PGLSSEY",1.7e-05,0.500539059776842,14.3865098857821
"logx14",46,1,"PGLSSEYOPTIM",2.6e-06,0.500539059776842,15.2782342301009
"14",46,1,"Compar",0.000276435608062009,0.500539059776842,66.5929107196025
"logx6",48,1,"PGLSSEY",1.2e-12,-1.27123869685867,-15.0868242519852
"logx15",48,1,"PGLSSEYOPTIM",3.5e-12,-1.27123869685867,-13.9022968175548
"15",48,1,"Compar",0.000136610948728411,-1.27123869685867,-50.1321307333145
"logx7",45,1,"PGLSSEY",7.1e-10,0.78427015783456,14.9656182486719
"logx16",45,1,"PGLSSEYOPTIM",1.1e-10,0.78427015783456,15.4912943304118
"16",45,1,"Compar",1.20785563462178e-06,0.78427015783456,119.430695728196
"logx8",47,1,"PGLSSEY",2.1e-08,-0.933572860011634,-23.0434615388001
"logx17",47,1,"PGLSSEYOPTIM",1e-08,-0.933572860011634,-25.2510408552824
"17",47,1,"Compar",8.45409490479732e-06,-0.933572860011634,-161.439743119965
"logx9",46,1,"PGLSSEY",0.86,-0.0914533480588104,0.410816786244805
"logx18",46,1,"PGLSSEYOPTIM",0.82,-0.0914533480588104,0.544793549579453
"18",46,1,"Compar",0.286497271814912,-0.0914533480588104,10.3969319922726
"logx10",50,1,"PGLSSEY",2.5e-05,-0.300110094813374,-8.47057423284928
"logx19",50,1,"PGLSSEYOPTIM",0.00026,-0.300110094813374,-7.21334558079154
"19",50,1,"Compar",0.0014363778955393,-0.300110094813374,-33.4834157887008
"logx20",47,1,"PGLSSEY",1.2e-12,-1.69116237660911,-23.5569528197944
"logx110",47,1,"PGLSSEYOPTIM",4.7e-12,-1.69116237660911,-25.6265962255557
"110",47,1,"Compar",9.49802695706659e-05,-1.69116237660911,-106.086876898849
"logx21",48,1,"PGLSSEY",0.0014,-0.589573768580179,-7.0873378998328
"logx111",48,1,"PGLSSEYOPTIM",0.00039,-0.589573768580179,-7.01967578813678
"111",48,1,"Compar",0.333734852576473,-0.589573768580179,-6.86403613815747
"logx22",46,1,"PGLSSEY",0.0019,-0.284079170573611,-4.08779915006279
"logx112",46,1,"PGLSSEYOPTIM",7e-04,-0.284079170573611,-4.03808126332315
"112",46,1,"Compar",0.00739972488276619,-0.284079170573611,-15.2690679686541
"logx23",48,1,"PGLSSEY",8.8e-05,0.279710618355267,6.3453132350755
"logx113",48,1,"PGLSSEYOPTIM",9.8e-05,0.279710618355267,6.28247153460814
"113",48,1,"Compar",2.38221789228277e-06,0.279710618355267,61.4275440112798
"logx24",48,1,"PGLSSEY",5.7e-14,-1.96427431250202,-22.2429159257178
"logx114",48,1,"PGLSSEYOPTIM",6e-13,-1.96427431250202,-20.4145551965798
"114",48,1,"Compar",1.67063087341823e-06,-1.96427431250202,-113.252750828855
"logx25",45,1,"PGLSSEY",0.77,0.130114217070807,1.2381081106019
"logx115",45,1,"PGLSSEYOPTIM",0.92,0.130114217070807,0.458786119318101
"115",45,1,"Compar",0.0743840917689151,0.130114217070807,39.6907802575238
"logx26",46,1,"PGLSSEY",0.047,-0.310248983216423,-8.55451510239181
"logx116",46,1,"PGLSSEYOPTIM",0.078,-0.310248983216423,-6.70389377700584
"116",46,1,"Compar",0.0245429252021174,-0.310248983216423,-35.4732354890039
"logx27",49,1,"PGLSSEY",1.7e-06,0.900787998774067,11.6976245179938
"logx117",49,1,"PGLSSEYOPTIM",1.5e-06,0.900787998774067,13.0215384776875
