"n","min","model","pval","simslope","slope"
47,1,"PGLSSEY",3.1e-07,0.539603524896673,2.69500406580651
47,1,"PGLSSEYOPTIM",4.2e-07,0.539603524896673,2.7514862923637
47,1,"Compar",0.000260375810930746,0.539603524896673,14.5540894076319
47,1,"PGLSSEY",8.4e-19,-1.99473278850886,-2.94867298317944
47,1,"PGLSSEYOPTIM",2.7e-17,-1.99473278850886,-3.17177740827627
47,1,"Compar",1.88596681656161e-05,-1.99473278850886,-10.7883402057339
43,10,"PGLSSEY",4.8e-08,-1.10167759869921,-2.06445587283085
43,10,"PGLSSEYOPTIM",4.4e-08,-1.10167759869921,-2.04330897535794
43,10,"Compar",8.83377151827958e-05,-1.10167759869921,-10.8538023264654
43,20,"PGLSSEY",0.0019,0.664274142628774,1.54462446734943
43,20,"PGLSSEYOPTIM",0.0018,0.664274142628774,1.57966459894245
43,20,"Compar",0.00079831813696396,0.664274142628774,8.97269765718767
46,20,"PGLSSEY",3.6e-11,-1.20271136382687,-1.20616100501692
46,20,"PGLSSEYOPTIM",3.6e-11,-1.20271136382687,-1.21040656355187
NA,NA,"Compar",NA,NA,NA
49,5,"PGLSSEY",2.3e-23,1.6584891995801,3.26144685265849
49,5,"PGLSSEYOPTIM",3.4e-23,1.6584891995801,3.2801590356162
49,5,"Compar",2.47325970126333e-06,1.6584891995801,15.0289092518743
47,5,"PGLSSEY",3.9e-13,1.83408847485911,1.40061645915785
47,5,"PGLSSEYOPTIM",1.1e-13,1.83408847485911,1.45595029082152
47,5,"Compar",5.15110707066668e-06,1.83408847485911,6.25445882995116
43,5,"PGLSSEY",5e-12,-1.28346336236232,-3.07550572451377
43,5,"PGLSSEYOPTIM",1.2e-12,-1.28346336236232,-3.10409630124662
43,5,"Compar",1.11200913210929e-06,-1.28346336236232,-19.4608788766412
46,1,"PGLSSEY",0.00054,-0.643365894868063,-1.46625920248124
46,1,"PGLSSEYOPTIM",0.0043,-0.643365894868063,-1.27299536732719
46,1,"Compar",0.328977132565687,-0.643365894868063,-2.04184616441896
48,20,"PGLSSEY",1.1e-10,1.58676770097755,1.88129468295395
48,20,"PGLSSEYOPTIM",1.6e-10,1.58676770097755,1.88315046093715
48,20,"Compar",6.62384973315611e-06,1.58676770097755,9.6763152977643
44,10,"PGLSSEY",1.4e-09,-1.51908814161325,-3.23974121696254
44,10,"PGLSSEYOPTIM",1.4e-09,-1.51908814161325,-3.23887190102277
44,10,"Compar",3.95438403244519e-05,-1.51908814161325,-14.581225365062
46,5,"PGLSSEY",1.2e-13,-1.56654472971365,-2.17509765004948
46,5,"PGLSSEYOPTIM",1.6e-11,-1.56654472971365,-2.10441426214347
46,5,"Compar",0.000116710365838379,-1.56654472971365,-8.8120388530842
49,20,"PGLSSEY",8.7e-11,1.32807699503377,1.46070230056136
49,20,"PGLSSEYOPTIM",8.2e-11,1.32807699503377,1.46366397238047
49,20,"Compar",0.000138586265938212,1.32807699503377,5.24416461864209
47,5,"PGLSSEY",6e-04,-0.519596705230911,-0.851091556622473
47,5,"PGLSSEYOPTIM",4e-04,-0.519596705230911,-0.866061340870719
47,5,"Compar",0.00477909933404153,-0.519596705230911,-3.32619761881784
45,1,"PGLSSEY",3.7e-11,1.0856701698665,1.74796632467671
45,1,"PGLSSEYOPTIM",1.1e-11,1.0856701698665,1.70149002847193
45,1,"Compar",2.21309159025296e-05,1.0856701698665,9.43059786397268
47,5,"PGLSSEY",6.7e-12,-1.29762345876211,-2.47220039226678
47,5,"PGLSSEYOPTIM",5.4e-12,-1.29762345876211,-2.52098646908177
47,5,"Compar",7.23806634006507e-06,-1.29762345876211,-12.2405240562679
49,5,"PGLSSEY",5.6e-15,1.26792523631091,2.73362808843491
49,5,"PGLSSEYOPTIM",3.5e-14,1.26792523631091,2.72283176060573
49,5,"Compar",5.60254881820654e-06,1.26792523631091,13.422633472033
44,10,"PGLSSEY",0.00084,0.617938871619125,0.741278846940254
44,10,"PGLSSEYOPTIM",0.00062,0.617938871619125,0.765940593771646
44,10,"Compar",0.00121747394341476,0.617938871619125,3.97502237781873
46,10,"PGLSSEY",4.1e-07,0.646324379936669,1.6277110297876
46,10,"PGLSSEYOPTIM",4.1e-07,0.646324379936669,1.63537014756146
46,10,"Compar",0.000108591853132056,0.646324379936669,7.71243655346673
47,1,"PGLSSEY",1.6e-11,-1.1113238118485,-2.71576661727178
47,1,"PGLSSEYOPTIM",1.9e-11,-1.1113238118485,-2.71207041091387
47,1,"Compar",0.000149417442557365,-1.1113238118485,-13.1871566919513
45,10,"PGLSSEY",1.1e-11,-1.82568934833244,-3.06306575216185
45,10,"PGLSSEYOPTIM",1.1e-11,-1.82568934833244,-3.06478837897136
45,10,"Compar",6.49795414249255e-05,-1.82568934833244,-12.1755163499562
46,20,"PGLSSEY",4.8e-13,-1.39399497256404,-0.913976982749584
46,20,"PGLSSEYOPTIM",8.1e-12,-1.39399497256404,-0.867981284379959
46,20,"Compar",1.59058355198027e-06,-1.39399497256404,-6.25843267513959
48,1,"PGLSSEY",1.4e-12,1.30775065347835,1.91434817681276
48,1,"PGLSSEYOPTIM",7.6e-13,1.30775065347835,1.91821471647484
48,1,"Compar",2.49081256953332e-07,1.30775065347835,12.775934828363
48,20,"PGLSSEY",3.5e-12,0.958705612321098,2.58746447072916
48,20,"PGLSSEYOPTIM",3.7e-12,0.958705612321098,2.5897594351579
48,20,"Compar",5.8636372770593e-06,0.958705612321098,11.9915275963846
48,20,"PGLSSEY",2e-16,1.82469225291535,1.9910466721727
48,20,"PGLSSEYOPTIM",2e-16,1.82469225291535,1.99065789002485
48,20,"Compar",1.12082529923896e-08,1.82469225291535,8.93687005168012
45,10,"PGLSSEY",5.7e-06,-1.10596070579249,-2.71317991766232
45,10,"PGLSSEYOPTIM",9.4e-06,-1.10596070579249,-2.68225003469932
45,10,"Compar",0.00203050502579472,-1.10596070579249,-10.1866874451763
48,10,"PGLSSEY",1.8e-15,1.34229500573067,2.36322992644264
48,10,"PGLSSEYOPTIM",9.8e-16,1.34229500573067,2.34827265719604
48,10,"Compar",5.16235726832903e-07,1.34229500573067,11.6144996874166
45,10,"PGLSSEY",2.5e-10,0.98238795072229,2.83511056801051
45,10,"PGLSSEYOPTIM",2.4e-10,0.98238795072229,2.97346923140408
45,10,"Compar",0.000103350958228887,0.98238795072229,14.489049130849
48,5,"PGLSSEY",8e-14,1.77155801758265,1.53694926172921
48,5,"PGLSSEYOPTIM",9.2e-14,1.77155801758265,1.53719794318297
48,5,"Compar",3.53344321846194e-06,1.77155801758265,6.6434920456717
48,5,"PGLSSEY",7.2e-06,1.14931966063066,0.902406637316901
48,5,"PGLSSEYOPTIM",1.2e-05,1.14931966063066,0.915728466958568
48,5,"Compar",1.10829047268446e-05,1.14931966063066,5.60661763295825
46,10,"PGLSSEY",6.6e-13,1.30497698100172,2.89522415045874
46,10,"PGLSSEYOPTIM",9.2e-13,1.30497698100172,2.87898919121199
46,10,"Compar",7.39838817409577e-06,1.30497698100172,13.2752317529484
47,1,"PGLSSEY",8.4e-17,1.6812262092007,1.84817561316748
47,1,"PGLSSEYOPTIM",2.8e-15,1.6812262092007,1.83187458300571
47,1,"Compar",1.91140582126437e-05,1.6812262092007,8.37149371404923
45,5,"PGLSSEY",1.2e-07,-1.30295401136727,-2.24979142721427
45,5,"PGLSSEYOPTIM",4.2e-07,-1.30295401136727,-2.19775509911787
45,5,"Compar",0.000424272422152372,-1.30295401136727,-10.4898754637964
43,10,"PGLSSEY",0.00035,-0.575155775908474,-2.11097176356072
43,10,"PGLSSEYOPTIM",0.00057,-0.575155775908474,-2.04222243239568
43,10,"Compar",0.00480563005418766,-0.575155775908474,-9.18053132490069
48,20,"PGLSSEY",5.5e-12,-1.84929768383827,-2.58725800826257
48,20,"PGLSSEYOPTIM",3.1e-12,-1.84929768383827,-2.68104191629144
48,20,"Compar",6.60994286416638e-07,-1.84929768383827,-17.6466337747041
49,1,"PGLSSEY",6.8e-08,-1.26533018965011,-0.699237055821336
49,1,"PGLSSEYOPTIM",1.3e-07,-1.26533018965011,-0.728496729796578
49,1,"Compar",0.000359220008443017,-1.26533018965011,-3.52641578166787
46,10,"PGLSSEY",7.4e-07,0.837731725128414,2.12798548583903
46,10,"PGLSSEYOPTIM",5.6e-07,0.837731725128414,2.13251096949875
