"n","min","model","pval","simslope","slope"
142,10,"PGLSSEY",0.32,0,-5.064700581063e-08
142,10,"PGLSSEYOPTIM",0.36,0,-4.55207885445435e-08
NA,NA,"Compar",NA,NA,NA
140,10,"PGLSSEY",0.83,0,4.98251735793928e-09
140,10,"PGLSSEYOPTIM",0.7,0,8.95133821578343e-09
NA,NA,"Compar",NA,NA,NA
140,10,"PGLSSEY",0.3,0,-2.7589165835248e-08
140,10,"PGLSSEYOPTIM",0.38,0,-2.3422909571856e-08
NA,NA,"Compar",NA,NA,NA
139,20,"PGLSSEY",0.51,0,4.09896503209204e-08
139,20,"PGLSSEYOPTIM",0.42,0,5.02401899220478e-08
NA,NA,"Compar",NA,NA,NA
140,1,"PGLSSEY",0.83,0,4.14076671672408e-09
140,1,"PGLSSEYOPTIM",0.54,0,1.18205149547584e-08
NA,NA,"Compar",NA,NA,NA
137,5,"PGLSSEY",0.42,0,9.46484565187608e-08
137,5,"PGLSSEYOPTIM",0.33,0,1.18806347340318e-07
NA,NA,"Compar",NA,NA,NA
141,5,"PGLSSEY",0.48,0,-1.35037818744828e-08
141,5,"PGLSSEYOPTIM",0.41,0,-1.53440106648423e-08
NA,NA,"Compar",NA,NA,NA
143,10,"PGLSSEY",0.7,0,-2.2343892571895e-08
143,10,"PGLSSEYOPTIM",0.7,0,-2.25287991292e-08
NA,NA,"Compar",NA,NA,NA
141,1,"PGLSSEY",0.98,0,-5.72698169338041e-10
141,1,"PGLSSEYOPTIM",0.9,0,-2.60780432330572e-09
NA,NA,"Compar",NA,NA,NA
141,20,"PGLSSEY",0.61,0,-6.66303303271055e-08
141,20,"PGLSSEYOPTIM",0.83,0,-2.76053973863839e-08
NA,NA,"Compar",NA,NA,NA
142,1,"PGLSSEY",0.52,0,-1.66978746393751e-08
142,1,"PGLSSEYOPTIM",0.65,0,-1.16886495886661e-08
NA,NA,"Compar",NA,NA,NA
142,10,"PGLSSEY",0.66,0,1.22805344191917e-08
142,10,"PGLSSEYOPTIM",0.42,0,2.22333189224214e-08
NA,NA,"Compar",NA,NA,NA
140,1,"PGLSSEY",0.71,0,-1.16294038506015e-08
140,1,"PGLSSEYOPTIM",0.6,0,-1.64711638332397e-08
NA,NA,"Compar",NA,NA,NA
138,1,"PGLSSEY",0.6,0,1.17450608087032e-08
138,1,"PGLSSEYOPTIM",0.35,0,2.1683609039172e-08
NA,NA,"Compar",NA,NA,NA
138,20,"PGLSSEY",0.63,0,-1.26255970561332e-08
138,20,"PGLSSEYOPTIM",0.63,0,-1.26406732763093e-08
NA,NA,"Compar",NA,NA,NA
139,5,"PGLSSEY",0.86,0,3.62524399639642e-09
139,5,"PGLSSEYOPTIM",0.63,0,1.02708625711407e-08
NA,NA,"Compar",NA,NA,NA
139,5,"PGLSSEY",0.54,0,1.98280123312719e-08
139,5,"PGLSSEYOPTIM",0.6,0,1.69162365077941e-08
NA,NA,"Compar",NA,NA,NA
139,5,"PGLSSEY",0.61,0,-2.40716837884818e-08
139,5,"PGLSSEYOPTIM",0.65,0,-2.13187575472785e-08
NA,NA,"Compar",NA,NA,NA
138,20,"PGLSSEY",0.41,0,-4.03601205321391e-08
138,20,"PGLSSEYOPTIM",0.43,0,-3.84435990999673e-08
NA,NA,"Compar",NA,NA,NA
139,10,"PGLSSEY",0.32,0,3.21853818518661e-08
139,10,"PGLSSEYOPTIM",0.37,0,2.91490513857266e-08
NA,NA,"Compar",NA,NA,NA
141,1,"PGLSSEY",0.64,0,-1.08294361798252e-08
141,1,"PGLSSEYOPTIM",0.38,0,-2.10007628349238e-08
NA,NA,"Compar",NA,NA,NA
141,10,"PGLSSEY",0.64,0,-1.3040039143306e-08
141,10,"PGLSSEYOPTIM",0.58,0,-1.55813152969452e-08
NA,NA,"Compar",NA,NA,NA
142,20,"PGLSSEY",0.79,0,-7.95575580446167e-09
142,20,"PGLSSEYOPTIM",0.72,0,-1.0443096969054e-08
NA,NA,"Compar",NA,NA,NA
135,20,"PGLSSEY",0.16,0,3.21569298175945e-08
135,20,"PGLSSEYOPTIM",0.15,0,3.3446774442819e-08
NA,NA,"Compar",NA,NA,NA
137,10,"PGLSSEY",0.56,0,-1.14886741532121e-08
137,10,"PGLSSEYOPTIM",0.62,0,-9.54178096208725e-09
NA,NA,"Compar",NA,NA,NA
139,20,"PGLSSEY",0.2,0,6.26702392243746e-08
139,20,"PGLSSEYOPTIM",0.2,0,6.30957756704873e-08
NA,NA,"Compar",NA,NA,NA
141,1,"PGLSSEY",0.49,0,1.35606453152394e-08
141,1,"PGLSSEYOPTIM",0.51,0,1.27123732296051e-08
NA,NA,"Compar",NA,NA,NA
138,1,"PGLSSEY",0.3,0,-1.96077382173974e-08
138,1,"PGLSSEYOPTIM",0.49,0,-1.3234328943232e-08
NA,NA,"Compar",NA,NA,NA
137,10,"PGLSSEY",0.93,0,2.6668382153962e-09
137,10,"PGLSSEYOPTIM",0.79,0,8.69286090736673e-09
NA,NA,"Compar",NA,NA,NA
137,1,"PGLSSEY",0.22,0,2.54623380171492e-08
137,1,"PGLSSEYOPTIM",0.28,0,2.20976821648327e-08
NA,NA,"Compar",NA,NA,NA
141,5,"PGLSSEY",0.36,0,2.61077910904684e-08
141,5,"PGLSSEYOPTIM",0.65,0,1.28061903573e-08
NA,NA,"Compar",NA,NA,NA
144,5,"PGLSSEY",0.54,0,-1.18937301574043e-08
144,5,"PGLSSEYOPTIM",0.5,0,-1.31552832180401e-08
NA,NA,"Compar",NA,NA,NA
145,5,"PGLSSEY",0.3,0,2.85748259400132e-08
145,5,"PGLSSEYOPTIM",0.23,0,3.32565339245405e-08
NA,NA,"Compar",NA,NA,NA
139,10,"PGLSSEY",0.85,0,5.9332119639256e-09
139,10,"PGLSSEYOPTIM",0.93,0,2.69873462001274e-09
NA,NA,"Compar",NA,NA,NA
138,10,"PGLSSEY",0.3,0,-2.80636891784903e-08
138,10,"PGLSSEYOPTIM",0.26,0,-3.02377678438551e-08
NA,NA,"Compar",NA,NA,NA
138,10,"PGLSSEY",0.98,0,6.0026099731407e-10
138,10,"PGLSSEYOPTIM",0.63,0,1.21959086731136e-08
NA,NA,"Compar",NA,NA,NA
142,1,"PGLSSEY",0.43,0,-7.05589391353043e-08
142,1,"PGLSSEYOPTIM",0.39,0,-7.62909391989734e-08
NA,NA,"Compar",NA,NA,NA
141,5,"PGLSSEY",0.41,0,1.76127746383543e-08
141,5,"PGLSSEYOPTIM",0.38,0,1.88585794557499e-08
NA,NA,"Compar",NA,NA,NA
144,20,"PGLSSEY",0.72,0,1.09206619734112e-08
144,20,"PGLSSEYOPTIM",0.13,0,4.73543692527366e-08
NA,NA,"Compar",NA,NA,NA
140,10,"PGLSSEY",0.63,0,-9.72529027415331e-09
140,10,"PGLSSEYOPTIM",0.64,0,-9.54980453750669e-09
NA,NA,"Compar",NA,NA,NA
141,1,"PGLSSEY",0.44,0,-5.17386216587386e-08
141,1,"PGLSSEYOPTIM",0.3,0,-7.04689608599261e-08
NA,NA,"Compar",NA,NA,NA
145,1,"PGLSSEY",0.42,0,8.00415981951386e-08
145,1,"PGLSSEYOPTIM",0.31,0,1.06348540666411e-07
NA,NA,"Compar",NA,NA,NA
139,10,"PGLSSEY",0.6,0,9.71331672738414e-09
139,10,"PGLSSEYOPTIM",0.66,0,8.30101702256563e-09
NA,NA,"Compar",NA,NA,NA
142,1,"PGLSSEY",0.5,0,1.65873243262783e-08
142,1,"PGLSSEYOPTIM",0.47,0,1.7337288270425e-08
NA,NA,"Compar",NA,NA,NA
141,1,"PGLSSEY",0.78,0,6.89425971665352e-09
141,1,"PGLSSEYOPTIM",0.55,0,1.4068355484083e-08
NA,NA,"Compar",NA,NA,NA
139,20,"PGLSSEY",0.6,0,-1.07860257591494e-08
139,20,"PGLSSEYOPTIM",0.59,0,-1.13076993477816e-08
NA,NA,"Compar",NA,NA,NA
141,20,"PGLSSEY",0.94,0,2.16702598196416e-09
141,20,"PGLSSEYOPTIM",0.94,0,2.18510960092755e-09
NA,NA,"Compar",NA,NA,NA
139,10,"PGLSSEY",0.76,0,-6.9847424909872e-09
139,10,"PGLSSEYOPTIM",0.95,0,-1.34702679301879e-09
NA,NA,"Compar",NA,NA,NA
