"","n","min","model","pval","simslope","slope"
"x",47,1,"PGLSSEY",0.94,0,-3.25373093957169e-09
"x1",47,1,"PGLSSEYOPTIM",0.73,0,1.36900700104021e-08
"1",47,1,"Compar",0.0144103799795969,0,3.67593905235798e-07
"x2",46,1,"PGLSSEY",0.82,0,-2.60598536192001e-08
"x11",46,1,"PGLSSEYOPTIM",0.37,0,-1.07415217568772e-07
"11",46,1,"Compar",0.231818617757417,0,-6.09674266823439e-07
"x3",49,1,"PGLSSEY",0.49,0,2.85278140525536e-08
"x12",49,1,"PGLSSEYOPTIM",0.16,0,5.75835691893105e-08
"12",49,1,"Compar",0.259031034292232,0,1.44819826385429e-07
"x4",47,1,"PGLSSEY",0.84,0,-1.09110700899297e-08
"x13",47,1,"PGLSSEYOPTIM",0.45,0,4.18384207447014e-08
"13",47,1,"Compar",0.0048497836132253,0,6.44821294969432e-07
"x5",42,1,"PGLSSEY",0.85,0,-6.6627269741944e-09
"x14",42,1,"PGLSSEYOPTIM",0.85,0,7.01223248181423e-09
"14",42,1,"Compar",0.168309685746368,0,1.95296603210738e-07
"x6",48,1,"PGLSSEY",0.49,0,2.8208170376566e-08
"x15",48,1,"PGLSSEYOPTIM",0.9,0,-4.58964081655015e-09
"15",48,1,"Compar",0.608060557743469,0,-6.11888994009815e-08
"x7",50,1,"PGLSSEY",0.85,0,2.23522616276139e-08
"x16",50,1,"PGLSSEYOPTIM",0.88,0,1.90434570773828e-08
"16",50,1,"Compar",0.00178931546686645,0,1.44254465018669e-06
"x8",43,1,"PGLSSEY",0.86,0,-1.99671589020032e-08
"x17",43,1,"PGLSSEYOPTIM",0.67,0,-4.83258081033058e-08
"17",43,1,"Compar",0.16264718464039,0,-5.64325061108843e-07
"x9",43,1,"PGLSSEY",0.98,0,4.214230969322e-09
"x18",43,1,"PGLSSEYOPTIM",0.95,0,9.29464562803164e-09
"18",43,1,"Compar",0.316331189544353,0,-5.55667247721362e-07
"x10",49,1,"PGLSSEY",0.85,0,1.08794641021605e-07
"x19",49,1,"PGLSSEYOPTIM",0.93,0,-5.15649963436275e-08
"19",49,1,"Compar",0.613109300939715,0,1.09537967393133e-06
"x20",44,1,"PGLSSEY",0.92,0,1.13041737797314e-08
"x110",44,1,"PGLSSEYOPTIM",0.86,0,-2.09900327412577e-08
"110",44,1,"Compar",0.586644976604014,0,-2.10781299762546e-07
"x21",46,1,"PGLSSEY",0.97,0,5.74848665258992e-09
"x111",46,1,"PGLSSEYOPTIM",0.87,0,2.83554868839951e-08
"111",46,1,"Compar",0.81548024121583,0,-1.26427788207137e-07
"x22",48,1,"PGLSSEY",0.82,0,-1.21585815630515e-08
"x112",48,1,"PGLSSEYOPTIM",0.67,0,2.40218635399545e-08
"112",48,1,"Compar",0.0495954820788826,0,4.3039415875402e-07
"x23",47,1,"PGLSSEY",0.63,0,-3.70649879696975e-08
"x113",47,1,"PGLSSEYOPTIM",0.85,0,-1.40035450678631e-08
"113",47,1,"Compar",0.605660624512316,0,-1.31710175490603e-07
"x24",45,1,"PGLSSEY",0.91,0,5.75610481572715e-08
"x114",45,1,"PGLSSEYOPTIM",0.09,0,8.97464414653478e-07
"114",45,1,"Compar",0.00509950073583765,0,5.80843971037959e-06
"x25",45,1,"PGLSSEY",0.99,0,5.5314668599883e-09
"x115",45,1,"PGLSSEYOPTIM",0.9,0,4.39934450613513e-08
"115",NA,NA,"Compar",NA,NA,NA
"x26",43,1,"PGLSSEY",0.95,0,1.45654586616379e-08
"x116",43,1,"PGLSSEYOPTIM",0.84,0,4.8529666689112e-08
