generation	Posterior	Prior	logLk	sigmasq	alpha	root
0	-1497.984	0	-1497.984	864441.3	0.7058038	0.1856061
500	-1375.077	0	-1375.077	940357.9	2.64821	0.3021351
1000	-1151.031	0	-1151.031	363616.6	11.11109	-0.06152241
1500	-917.7832	0	-917.7832	146477.7	42.73275	0.2966267
2000	-651.1889	0	-651.1889	59429.22	191.1021	0.5048147
2500	-423.2431	0	-423.2431	17569.3	846.7533	0.2609556
3000	-279.0327	0	-279.0327	10203.94	3120.089	0.1738749
3500	-173.3457	0	-173.3457	9444.019	9826.025	0.1403952
4000	52.15999	0	52.15999	5686.415	51728.85	0.147807
4500	113.8152	0	113.8152	10094.96	187779.1	0.1311257
5000	135.836	0	135.836	15889.24	392119	0.1534237
5500	141.8246	0	141.8246	21650.56	671785.1	0.1532543
6000	141.5071	0	141.5071	25815.97	812207.7	0.1465307
6500	142.393	0	142.393	23301.95	743533.2	0.1439396
7000	136.8054	0	136.8054	16766.49	513909.8	0.1557729
7500	144.9886	0	144.9886	23955.29	698375.7	0.1437208
8000	145.8912	0	145.8912	22619.98	715343.6	0.1465163
8500	142.9344	0	142.9344	19208.52	601040.9	0.1448376
9000	143.9105	0	143.9105	31435.34	938431	0.1482594
9500	139.8728	0	139.8728	33420.22	955313.5	0.1573098
10000	141.3835	0	141.3835	37770.71	1007592	0.1470458
