generation	Posterior	Prior	logLk	sigmasq	alpha	root
0	-4405.259	0	-4405.259	522570.9	0.3231506	0.06273161
500	-3927.701	0	-3927.701	449466.3	1.562973	0.4023137
1000	-3462.546	0	-3462.546	322150.2	6.299239	0.02100528
1500	-2823.002	0	-2823.002	216999	42.85194	0.0426533
2000	-2370.433	0	-2370.433	185967.6	171.1238	-0.005566584
2500	-1917.981	0	-1917.981	174754.5	874.4291	0.08308671
3000	-1193.53	0	-1193.53	77408.77	3363.44	0.2043089
3500	-683.5406	0	-683.5406	41572.09	17843.55	0.09561042
4000	-189.6823	0	-189.6823	35091.14	86105.52	0.1114766
4500	212.1064	0	212.1064	36378.87	414933.9	0.06646069
5000	441.9661	0	441.9661	56714.53	1480034	0.08571364
5500	548.0804	0	548.0804	111570.1	4283721	0.0901439
6000	558.3709	0	558.3709	154397	6170785	0.09955047
6500	560.9027	0	560.9027	215872.8	8352848	0.08848016
7000	562.2384	0	562.2384	222023.7	10594789	0.09742098
7500	568.022	0	568.022	265280.7	11568267	0.09831159
8000	572.1105	0	572.1105	339960.1	16363309	0.09159665
8500	574.279	0	574.279	347147.4	14924333	0.09204926
9000	572.6892	0	572.6892	311529.9	13011566	0.08822549
9500	571.82	0	571.82	382608	15876067	0.08914631
10000	578.4699	0	578.4699	276726.8	12505058	0.08260063
